Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,UGDate,AgeOfUnder,Graduate,GradDegree,MBA?,MasterPhd?,G_Date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,TotalComp,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,Industry Code,WideIndustry,Log10TotalComp
Newell Co,Mr. William P Sovey,Helen,GA,60.0,Georgia Tech,BS,55.0,21.0,,none,0.0,0.0,,,8.0,2.0,550000.0,415800,17410.0,,983210.0,,0.218,1645.0,165.3,20.0,Consumer durables-home furnishings,18.0,Consumer,5.992646287008924
Rubbermaid,Mr. Wolfgang R Schmitt,Germany,,50.0,Otterbein C,BA,66.0,22.0,,none,0.0,0.0,,,28.0,2.0,363746.0,600211,808835.0,,1772790.0,,0.087,1960.0,211.4,15.0,Consumer durables-home furnishings,18.0,Consumer,6.248657293275621
LeggettPlatt,Mr. Harry M Cornell Jr,Dutch East Indi,,65.0,U of Missouri,BS,50.0,21.0,,none,0.0,0.0,,,44.0,34.0,472731.0,340864,526470.0,1.17517e+006,2515240.0,6177530.0,3.094,1527.0,85.9,31.0,Consumer durables-home furnishings,18.0,Consumer,6.400579431023254
Armstrong World Indu,Mr. George A Lorch,Glenridge,NJ,53.0,Virginia Polyte,BS,63.0,22.0,,none,0.0,0.0,,,31.0,1.0,373700.0,133648,13573.0,34825,555746.0,,0.035,2525.0,63.5,13.0,Consumer durables-home furnishings,18.0,Consumer,5.744876345533549
Springs Industries,Mr. Walter Y Elisha,Gary,IN,61.0,Wabash C,BA,54.0,21.0,Harvard,MBA,1.0,1.0,65.0,32.0,14.0,13.0,575004.0,400000,98921.0,,1073930.0,4568350.0,0.512,2023.0,47.3,1.0,Consumer durables-home furnishings,18.0,Consumer,6.03097597446923
Harley-Davidson,Mr. Richard F Teerlink,Chicago,IL,57.0,Bradley U,BS,61.0,24.0,U of Chicago,MBA,1.0,1.0,76.0,39.0,13.0,5.0,425672.0,546000,53756.0,,1025430.0,5445770.0,0.654,1217.0,18.4,45.0,Consumer durables-recreation equipment,18.0,Consumer,6.010906019018043
Brunswick,Mr. Jack F Reichert,West Allis,WI,63.0,,,,,,none,0.0,0.0,,,37.0,12.0,717644.0,700000,134211.0,,1551860.0,7915400.0,0.611,2207.0,42.3,5.0,Consumer durables-recreation equipment,18.0,Consumer,6.190852539106477
Fleetwood Enterprise,Mr. John C Crean,Bowden,ND,68.0,,,,,,none,0.0,0.0,,,44.0,44.0,111000.0,1.46853e+006,799959.0,,2379490.0,13119600.0,17.533,2207.0,60.0,10.0,Consumer durables-recreation equipment,18.0,Consumer,6.376483883980775
Colgate-Palmolive,Mr. ReubenMark,Jersey City,NJ,55.0,Middlebury C,BA,60.0,21.0,Harvard,MBA,1.0,1.0,63.0,24.0,31.0,10.0,900833.0,1.264e+006,93949.0,119898,2378680.0,32532100.0,0.33,7141.0,548.1,22.0,Consumer nondurables-personal products,18.0,Consumer,6.37633602102769
Kimberly-Clark,Mr. Wayne R Sanders,Chicago,IL,46.0,Illinois Tech,BSC,69.0,21.0,Marquette U,MBA,1.0,1.0,72.0,24.0,19.0,2.0,677500.0,380160,7075.0,,1064740.0,3970150.0,0.024,6973.0,510.9,15.0,Consumer nondurables-personal products,18.0,Consumer,6.027243569886699
James River Corp of,Mr. Robert C Williams,Cincinnati,OH,64.0,U of Cincinnati,BSM,53.0,23.0,Xavier U,MBA,1.0,1.0,57.0,27.0,35.0,4.0,824615.0,,123013.0,,947628.0,4994040.0,0.671,4650.0,-0.3,-6.0,Consumer nondurables-personal products,18.0,Consumer,5.97663788453895
Clorox,Mr. G CraigSullivan,Huntington,NY,54.0,Boston C,BS,64.0,24.0,,none,0.0,0.0,,,23.0,2.0,457500.0,351000,104816.0,217631,1130950.0,,0.014,1644.0,204.2,14.0,Consumer nondurables-personal products,18.0,Consumer,6.053443404921831
Avon Products,Mr. James E Preston,Cleveland,OH,61.0,Northwestern U,BS,55.0,22.0,,none,0.0,0.0,,,30.0,5.0,610000.0,311478,36878.0,,958356.0,14117700.0,0.21,4008.0,239.6,25.0,Consumer nondurables-personal products,18.0,Consumer,5.981526866193126
Duracell Internation,Mr. C RobertKidder,Freeport,NY,49.0,U of Michigan,BS,66.0,21.0,Iowa State,MS,0.0,1.0,68.0,23.0,17.0,10.0,610486.0,410000,22197.0,1.31339e+007,14176500.0,16388600.0,0.121,1788.0,132.2,23.0,Consumer nondurables-personal products,18.0,Consumer,7.1515690222215555
Service Corp Interna,Mr. Robert L Waltrip,Austin,TX,63.0,U of Houston,BBA,54.0,23.0,,none,0.0,0.0,,,32.0,32.0,717500.0,882000,2018590.0,,3618090.0,17974300.0,0.746,899.0,103.1,19.0,Consumer nondurables-personal products,18.0,Consumer,6.5584793657347475
ProcterGamble,Mr. Edwin L Artzt,New York,NY,64.0,U of Oregon,BS,51.0,21.0,,none,0.0,0.0,,,40.0,4.0,1137500.0,625000,301200.0,6.3145e+006,8378200.0,18542200.0,0.051,30067.0,571.0,21.0,Consumer nondurables-personal products,18.0,Consumer,6.9231507233992335
Scott Paper,Mr. Albert J Dunlap,Hoboken,NJ,56.0,US Military Aca,BS,60.0,22.0,,none,0.0,0.0,,,1.0,1.0,,,,,,,1e-05,4749.0,-289.1,3.0,Consumer nondurables-personal products,18.0,Consumer,
Gillette,Mr. Alfred M Zeien,New York,NY,64.0,Webb Institute,BS,52.0,22.0,,none,0.0,0.0,,,26.0,3.0,908333.0,675000,157273.0,1.67362e+006,3414220.0,14248200.0,0.138,5411.0,426.9,31.0,Consumer nondurables-personal products,18.0,Consumer,6.533291502047511
Dial,Mr. John W Teets,Elgin,IL,60.0,,,,,,none,0.0,0.0,,,30.0,13.0,1150330.0,1.1733e+006,3361870.0,,5685500.0,20386900.0,0.541,3000.0,142.4,17.0,Consumer nondurables-personal products,18.0,Consumer,6.754768663868499
Eastman Kodak,Mr. George M C Fisher,Anna,IL,53.0,U of Illinois,BS,62.0,21.0,Brown,MS,0.0,1.0,64.0,23.0,1.0,1.0,2000000.0,154000,5000000.0,,7154000.0,,0.038,16364.0,475.0,9.0,Consumer nondurables-photographytoys,18.0,Consumer,6.854548935812951
Polaroid,Mr. I MacAllisterBooth,Atlanta,GA,62.0,Cornell,BME,55.0,23.0,Cornell,MBA,1.0,1.0,58.0,26.0,36.0,8.0,525507.0,,69526.0,,595033.0,3428480.0,0.023,2245.0,67.9,-1.0,Consumer nondurables-photographytoys,18.0,Consumer,5.774541051981463
Hasbro,Mr. Alan G Hassenfeld,Providence,RI,45.0,U of Pennsylvan,BA,70.0,21.0,,none,0.0,0.0,,,24.0,5.0,872807.0,600000,98282.0,2.80898e+006,4380070.0,12453800.0,3.667,2747.0,200.0,25.0,Consumer nondurables-photographytoys,18.0,Consumer,6.641481051228029
Mattel,Mr. John W Amerman,Newark,NJ,62.0,Dartmouth,BA,53.0,21.0,Dartmouth,MBA,1.0,1.0,54.0,22.0,14.0,7.0,828759.0,825000,1006050.0,180436,2840250.0,19772300.0,0.281,2704.0,135.9,39.0,Consumer nondurables-photographytoys,18.0,Consumer,6.453356568512526
Unifi,Mr. William T Kretzer,Pittsburgh,PA,47.0,NC State U,BA,68.0,21.0,,none,0.0,0.0,,,23.0,9.0,650000.0,400000,33058.0,3.07156e+006,4154620.0,13729000.0,0.599,1365.0,114.9,23.0,Consumer nondurables-textiles,18.0,Consumer,6.618531307434169
Burlington Industrie,Mr. Frank S Greenberg,Chicago,IL,64.0,U of Chicago,BA,49.0,19.0,,none,0.0,0.0,,,44.0,8.0,650004.0,1.11002e+006,12226.0,,1772250.0,5279920.0,0.689,2071.0,88.7,4.0,Consumer nondurables-textiles,18.0,Consumer,6.248524985024069
Shaw Industries,Mr. Robert E Shaw,Cartersville,GA,62.0,,,,,,none,0.0,0.0,,,34.0,32.0,892500.0,800000,4497.0,,1697000.0,7538070.0,6.705,2476.0,117.6,47.0,Consumer nondurables-textiles,18.0,Consumer,6.229681842317676
NIKE,Mr. Philip H Knight,Portland,OR,56.0,U of Oregon,BA,59.0,21.0,Stanford U,MBA,1.0,1.0,62.0,24.0,30.0,30.0,750000.0,300000,45889.0,,1095890.0,4058830.0,33.099,3769.0,306.5,27.0,Consumer nondurables-textilesapparel,18.0,Consumer,6.039766964011027
Liz Claiborne,Mr. Jerome A Chazen,New York,NY,67.0,U of Wisc Madis,BA,48.0,21.0,Columbia,MBA,1.0,1.0,50.0,23.0,17.0,5.0,574100.0,,629961.0,,1204060.0,5661610.0,2.978,2204.0,125.3,7.0,Consumer nondurables-textilesapparel,18.0,Consumer,6.080648128964712
Fruit of the Loom,Mr. William Farley,Pawtucket,RI,51.0,Bowdoin C,AB,64.0,21.0,Boston C,JD,0.0,1.0,69.0,26.0,18.0,9.0,850000.0,1.15e+006,,,2000000.0,13920700.0,9.247,1884.0,212.8,27.0,Consumer nondurables-textilesapparel,18.0,Consumer,6.301029995663981
VF,Mr. Lawrence R Pugh,White Plains,NY,61.0,Colby C,BBA,56.0,23.0,,none,0.0,0.0,,,14.0,12.0,735000.0,400000,131166.0,894062,2160230.0,10784200.0,0.038,4320.0,246.4,12.0,Consumer nondurables-textilesapparel,18.0,Consumer,6.334499993008857
Reebok International,Mr. Paul B Fireman,Cambridge,MA,50.0,,,,,,none,0.0,0.0,,,15.0,15.0,1000010.0,650000,230813.0,,1880830.0,35525100.0,14.833,2894.0,223.4,21.0,Consumer nondurables-textilesapparel,18.0,Consumer,6.27434954334495
Union Electric,Mr. Charles W Mueller,Belleville,IL,55.0,St Louis U,BSE,61.0,22.0,St Louis U,MBA,1.0,1.0,66.0,27.0,33.0,1.0,237000.0,55000,22382.0,,314382.0,,0.004,2066.0,297.2,15.0,Electric utilities-north central,19.0,Utility,5.497457672467687
DPL,Mr. Peter H Forster,Germany,,51.0,U of Wisc Madis,BS,64.0,21.0,Brooklyn Law Sc,JD,0.0,1.0,72.0,29.0,21.0,9.0,496000.0,298000,1000.0,,795000.0,4084400.0,0.02,1151.0,139.0,21.0,Electric utilities-north central,19.0,Utility,5.9003671286564705
DQE,Mr. Wesley W von Schack,New York,NY,50.0,Fordham U,AB,65.0,21.0,Pace U NY,PhD,0.0,1.0,90.0,46.0,10.0,8.0,440000.0,,,572000,1012000.0,2948380.0,0.043,1196.0,141.4,18.0,Electric utilities-north central,19.0,Utility,6.00518051250378
Cincinnati GasElec,Mr. Jackson H Randolph,Cincinnati,OH,63.0,U of Cincinnati,BBA,58.0,27.0,U of Cincinnati,MBA,1.0,1.0,68.0,37.0,35.0,8.0,425000.0,200000,88398.0,,713398.0,2693200.0,0.025,1752.0,-8.7,16.0,Electric utilities-north central,19.0,Utility,5.853331887466337
Wisconsin Energy,Mr. Richard A Abdoo,Port Huron,MI,50.0,U of Dayton,BSE,65.0,21.0,U of Detroit,MA,0.0,1.0,69.0,25.0,19.0,3.0,450000.0,122000,15170.0,,587170.0,1899320.0,0.011,1644.0,188.5,14.0,Electric utilities-north central,19.0,Utility,5.768763858271622
Cipsco,Mr. Clifford L Greenwalt,Solano,NM,61.0,U of Missouri,BSC,60.0,27.0,U of Illinois,MBA,1.0,1.0,77.0,44.0,31.0,5.0,339093.0,99902,5852.0,,444847.0,1338020.0,0.029,845.0,85.5,14.0,Electric utilities-north central,19.0,Utility,5.648210666079199
Kansas City PowerL,Mr. Drue A Jennings,Topeka,KS,47.0,U of Kansas,BS,68.0,21.0,U of Kansas,JD,0.0,1.0,72.0,25.0,20.0,6.0,375000.0,113750,26151.0,,514901.0,2073780.0,0.026,857.0,105.8,15.0,Electric utilities-north central,19.0,Utility,5.711723735280449
PSI Resources,Mr. James E Rogers,Birmingham,AL,46.0,U of Kentucky,BBA,70.0,22.0,U of Kentucky,JD,0.0,1.0,74.0,26.0,6.0,6.0,402408.0,239324,277586.0,,919318.0,3511440.0,0.04,1088.0,96.4,18.0,Electric utilities-north central,19.0,Utility,5.9634657635694905
Commonwealth Edison,Mr. James J O'Connor,Chicago,IL,57.0,Col of the Holy,BS,58.0,21.0,Georgetown U,LLB,0.0,1.0,63.0,26.0,31.0,14.0,668126.0,215137,80976.0,,964239.0,3665630.0,0.008,5260.0,102.7,2.0,Electric utilities-north central,19.0,Utility,5.984184693152235
Centerior Energy,Mr. Robert J Farling,Warren,OH,58.0,Case Western,BSE,58.0,22.0,Case Western,MBA,1.0,1.0,65.0,29.0,35.0,2.0,361306.0,,13250.0,16545,391101.0,1075860.0,0.012,2474.0,-942.6,1.0,Electric utilities-north central,19.0,Utility,5.592288926394286
Nipsco Industries,Mr. Gary L Neale,Lead,SD,54.0,U of Washington,BA,62.0,22.0,U of Washington,MBA,1.0,1.0,65.0,25.0,5.0,1.0,400000.0,206000,11954.0,,617954.0,,0.05,1678.0,156.1,24.0,Electric utilities-north central,19.0,Utility,5.7909561477591955
CMS Energy,Mr. William T McCormick J,Washington,DC,49.0,Cornell,BS,66.0,21.0,MIT,PhD,0.0,1.0,69.0,24.0,9.0,9.0,625000.0,,34789.0,,659789.0,4962850.0,0.131,3482.0,155.0,,Electric utilities-north central,19.0,Utility,5.819405070713533
Ipalco Enterprises,Mr. John R Hodowal,Dayton,OH,49.0,Purdue U,BSI,66.0,21.0,Indiana U,JD,0.0,1.0,70.0,25.0,26.0,5.0,424459.0,209672,136825.0,,770956.0,3661230.0,0.042,664.0,75.4,15.0,Electric utilities-north central,19.0,Utility,5.887029592704023
Illinois Power,Mr. Larry D Haab,Fairbury,IL,56.0,Millikin U,BS,59.0,21.0,,none,0.0,0.0,,,29.0,3.0,437500.0,22531,16754.0,,476785.0,1604830.0,0.012,1581.0,-55.8,10.0,Electric utilities-north central,19.0,Utility,5.67832258372945
Ohio Edison,Mr. Willard R Holland,Springfield,TN,58.0,Rose-Hulman Tec,BS,65.0,29.0,Rose-Hulman Tec,MS,0.0,1.0,66.0,30.0,3.0,1.0,381416.0,158794,26147.0,,566357.0,,0.002,2370.0,24.5,7.0,Electric utilities-north central,19.0,Utility,5.753090272627281
Western Resources,Mr. John E Hayes Jr,Kansas City,MO,56.0,Rockhurst C,BS,59.0,21.0,,none,0.0,0.0,,,5.0,5.0,416666.0,85000,78804.0,,580470.0,1871840.0,0.024,1909.0,177.4,13.0,Electric utilities-north central,19.0,Utility,5.763779779335349
American Electric Po,Dr. E LinnDraper Jr,Houston,TX,52.0,Rice U,BA,64.0,22.0,Cornell,PhD,0.0,1.0,70.0,28.0,2.0,1.0,538333.0,148742,18180.0,,705255.0,,0.001,5269.0,353.8,11.0,Electric utilities-north central,19.0,Utility,5.84834617382735
Detroit Edison,Mr. John E Lobbia,Chicago,IL,52.0,U of Detroit,BSE,64.0,22.0,,none,0.0,0.0,,,30.0,4.0,501250.0,124060,20570.0,,645880.0,2432180.0,0.007,3555.0,521.9,15.0,Electric utilities-north central,19.0,Utility,5.810151836603657
Northern States Powe,Mr. James J Howard,Pittsburgh,PA,58.0,U of Pittsburgh,BBA,57.0,21.0,MIT,MS,0.0,1.0,70.0,34.0,7.0,7.0,511300.0,231931,233279.0,,976510.0,3788150.0,0.03,2404.0,211.7,12.0,Electric utilities-north central,19.0,Utility,5.989676695061233
Delmarva PowerLigh,Mr. Howard E Cosgrove,Philadelphia,PA,51.0,U of Virginia,BS,66.0,23.0,U of Delaware,MBA,1.0,1.0,70.0,27.0,28.0,2.0,320000.0,86400,28584.0,,434984.0,,0.017,971.0,111.1,11.0,Electric utilities-northeast,19.0,Utility,5.638473282610946
Boston Edison,Mr. Bernard W Reznicek,Dodge,NE,57.0,Creighton U,BS,58.0,21.0,U of Nebraska L,MBA,1.0,1.0,79.0,42.0,7.0,3.0,435000.0,283500,159340.0,,877840.0,3045650.0,0.027,1482.0,118.2,19.0,Electric utilities-northeast,19.0,Utility,5.943415366191668
Public Service Enter,Mr. E JamesFerland,Boston,MA,52.0,U of Maine,BS,64.0,22.0,U of New Haven,MBA,1.0,1.0,76.0,34.0,8.0,8.0,622606.0,,36079.0,10450,669135.0,4049470.0,0.014,5706.0,595.5,10.0,Electric utilities-northeast,19.0,Utility,5.82551374682656
New England Electric,Mr. John W Rowe,Dodgeville,WI,49.0,U of Wisc Madis,BS,67.0,22.0,U of Wisc Madis,JD,0.0,1.0,70.0,25.0,5.0,5.0,433908.0,268323,11259.0,,713490.0,3309190.0,0.031,2234.0,190.2,17.0,Electric utilities-northeast,19.0,Utility,5.853387890589764
General Public Utili,Mr. James R Leva,Boonton,NJ,62.0,Fairleigh Dicki,BSE,60.0,28.0,Seton Hall C,JD,0.0,1.0,80.0,48.0,42.0,2.0,523750.0,189000,57494.0,,770244.0,1769460.0,0.003,3596.0,295.7,15.0,Electric utilities-northeast,19.0,Utility,5.886628323961338
New York State Elect,Mr. James A Carrigg,Johnson City,NY,61.0,Broome Comm,AAS,58.0,25.0,,none,0.0,0.0,,,36.0,6.0,413123.0,,2429.0,,415552.0,1941690.0,0.014,1800.0,166.0,11.0,Electric utilities-northeast,19.0,Utility,5.618625376856643
Potomac Electric Pow,Mr. Edward F Mitchell,Harrisonburg,VA,62.0,U of Virginia,BSE,56.0,24.0,George Washingt,MEA,0.0,1.0,60.0,28.0,38.0,5.0,540000.0,218700,224784.0,,983484.0,3356800.0,0.041,1702.0,241.6,9.0,Electric utilities-northeast,19.0,Utility,5.992767298908905
Consolidated Edison,Mr. Eugene R McGrath,New York,NY,52.0,Manhattan C,BSM,63.0,21.0,Iona C,MBA,1.0,1.0,80.0,38.0,31.0,4.0,551667.0,253500,97616.0,,902783.0,3144590.0,0.005,6265.0,658.5,12.0,Electric utilities-northeast,19.0,Utility,5.955583372430862
Atlantic Energy,Mr. Jerrold L Jacobs,Brooklyn,NY,55.0,NJ Tech,BSE,61.0,22.0,,none,0.0,0.0,,,33.0,1.0,284670.0,70400,42651.0,,397721.0,,0.022,866.0,95.3,12.0,Electric utilities-northeast,19.0,Utility,5.599578522701694
Pennsylvania Power,Mr. William F Hecht,New York,NY,51.0,Lehigh U,BS,64.0,21.0,Lehigh U,MS,0.0,1.0,70.0,27.0,30.0,1.0,375000.0,45000,37096.0,,457096.0,,0.008,2727.0,348.1,13.0,Electric utilities-northeast,19.0,Utility,5.660007420839695
Allegheny Power Syst,Mr. KlausBergman,Germany,,63.0,Columbia,AB,53.0,22.0,Columbia,LLB,0.0,1.0,55.0,24.0,22.0,9.0,460000.0,80000,46889.0,,586889.0,2556480.0,0.008,2332.0,215.8,13.0,Electric utilities-northeast,19.0,Utility,5.768555969653171
Niagara Mohawk Power,Mr. William E Davis,Schenevus,NY,52.0,US Naval Acad,BS,64.0,22.0,George Washingt,MSA,0.0,1.0,70.0,28.0,4.0,1.0,394045.0,40632,189006.0,,623683.0,,0.001,3933.0,271.8,11.0,Electric utilities-northeast,19.0,Utility,5.7949639064580385
Northeast Utilities,Mr. Bernard M Fox,New York,NY,51.0,Manhattan C,BSE,63.0,20.0,Rensselaer,MSEE,0.0,1.0,64.0,21.0,30.0,1.0,478775.0,180780,115848.0,,775403.0,,0.013,3629.0,198.3,14.0,Electric utilities-northeast,19.0,Utility,5.889527476940634
Long Island Lighting,Dr. William J Catacosinos,New York,NY,64.0,NYU,BS,51.0,21.0,NYU,PhD,0.0,1.0,62.0,32.0,15.0,10.0,534370.0,,17453.0,,551823.0,2630490.0,0.008,2881.0,296.6,15.0,Electric utilities-northeast,19.0,Utility,5.7417997979280795
Baltimore GasElect,Mr. Christian H Poindexte,Evansville,IN,55.0,US Naval Acad,BS,60.0,21.0,Loyola U,MBA,1.0,1.0,75.0,36.0,27.0,1.0,465533.0,124000,36844.0,,626377.0,,0.05,2669.0,309.9,11.0,Electric utilities-northeast,19.0,Utility,5.79683580243994
PECO Energy,Mr. Joseph F Paquette Jr,Norwood,MA,59.0,Yale,BS,56.0,21.0,,none,0.0,0.0,,,38.0,6.0,425534.0,403262,,766800,1595600.0,4852080.0,0.013,3988.0,590.6,14.0,Electric utilities-northeast,19.0,Utility,6.202924027637802
Houston Industries,Mr. Don D Jordan,Corp Christi,TX,62.0,U of Texas Aust,BBA,54.0,22.0,S Texas Col of,JD,0.0,1.0,69.0,37.0,38.0,17.0,829500.0,,1410450.0,,2239950.0,6749680.0,0.047,4324.0,416.0,13.0,Electric utilities-south central,19.0,Utility,6.350238324152712
Texas Utilities,Mr. Jerry S Farrington,Burkburnett,TX,59.0,U of North Texa,BBA,55.0,20.0,U of North Texa,MBA,1.0,1.0,58.0,23.0,37.0,7.0,743750.0,125000,429949.0,,1298700.0,4534830.0,0.007,5435.0,368.7,15.0,Electric utilities-south central,19.0,Utility,6.113508840532819
CentralSouth West,Mr. E RBrooks,Slaton,TX,56.0,Texas Tech U,BSE,61.0,23.0,,none,0.0,0.0,,,33.0,3.0,549167.0,57265,148787.0,,755219.0,2727180.0,0.027,3687.0,262.0,17.0,Electric utilities-south central,19.0,Utility,5.878072907523271
Southwestern Public,Mr. Bill D Helton,Wheeler,TX,55.0,Texas Tech U,BSE,64.0,25.0,,none,0.0,0.0,,,30.0,4.0,263333.0,75674,82190.0,,421197.0,1401880.0,0.027,826.0,104.5,10.0,Electric utilities-south central,19.0,Utility,5.624485269236892
Oklahoma GasElectr,Mr. James G Harlow Jr,Oklahoma City,OK,59.0,U of Oklahoma,BS,57.0,22.0,,none,0.0,0.0,,,33.0,18.0,500000.0,,79784.0,,579784.0,2744340.0,0.107,1447.0,114.3,8.0,Electric utilities-south central,19.0,Utility,5.763266226183537
Entergy,Mr. EdwinLupberger,Atlanta,GA,57.0,Davidson C,AB,58.0,21.0,Emory U,MBA,1.0,1.0,63.0,26.0,15.0,8.0,542077.0,437610,301597.0,46717,1328000.0,4708380.0,0.013,4485.0,458.1,19.0,Electric utilities-south central,19.0,Utility,6.123198075031999
Carolina PowerLigh,Mr. Sherwood H Smith Jr,Jacksonville,FL,59.0,U of North Caro,AB,56.0,21.0,U of North Caro,JD,0.0,1.0,60.0,25.0,29.0,15.0,567000.0,150000,60372.0,,777372.0,3117900.0,0.037,2895.0,346.5,14.0,Electric utilities-southeast,19.0,Utility,5.890628893814556
Dominion Resources,Mr. Thos E Capps,Wilmington,NC,58.0,U of North Caro,BA,58.0,22.0,U of North Caro,JD,0.0,1.0,65.0,29.0,10.0,4.0,534100.0,187066,16408.0,,737574.0,2819640.0,0.035,4434.0,516.6,15.0,Electric utilities-southeast,19.0,Utility,5.8678055991307865
Florida Progress,Dr. Jack B Critchfield,Rockwood,PA,61.0,Slippery Rock U,BS,55.0,22.0,U of Pittsburgh,MA,0.0,1.0,60.0,27.0,11.0,4.0,585186.0,396500,103210.0,,1084900.0,3074460.0,0.01,2449.0,195.8,13.0,Electric utilities-southeast,19.0,Utility,6.035389709198677
Scana,Mr. Lawrence M Gressette,St Matthews,SC,62.0,Clemson U,BS,54.0,22.0,U of S Carolina,LLB,0.0,1.0,59.0,27.0,11.0,4.0,383557.0,186615,346395.0,,916567.0,2802330.0,0.032,1264.0,168.0,16.0,Electric utilities-southeast,19.0,Utility,5.962164216888803
Duke Power,Mr. William H Grigg,Shelby,NC,61.0,Duke U,AB,54.0,21.0,Duke U,LLB,0.0,1.0,58.0,25.0,31.0,1.0,411500.0,,205601.0,,617101.0,,0.017,4282.0,626.4,16.0,Electric utilities-southeast,19.0,Utility,5.790356250180599
FPL Group,Mr. James L Broadhead,New Rochelle,NY,58.0,Cornell,BSM,58.0,22.0,Columbia,JD,0.0,1.0,63.0,27.0,5.0,5.0,765900.0,581318,717052.0,,2064270.0,7151980.0,0.069,5316.0,428.7,10.0,Electric utilities-southeast,19.0,Utility,6.3147665010177665
Southern Co,Mr. Edward L Addison,Cottageville,SC,64.0,U of S Carolina,BEE,50.0,20.0,,none,0.0,0.0,,,40.0,11.0,734714.0,148118,397150.0,,1279980.0,5230240.0,0.012,8489.0,1002.0,18.0,Electric utilities-southeast,19.0,Utility,6.107203183743573
TECO Energy,Mr. Timothy L Guzzle,Ottumwa,IA,57.0,U of Oklahoma,BS,58.0,21.0,Texas Christian,PhD,0.0,1.0,65.0,28.0,6.0,5.0,443750.0,194000,28267.0,357500,1023520.0,4261430.0,0.02,1284.0,150.3,17.0,Electric utilities-southeast,19.0,Utility,6.010096333373487
KU Energy,Mr. John T Newton,Shelbyville,KY,63.0,Western Kentuck,BS,52.0,21.0,,none,0.0,0.0,,,36.0,7.0,424237.0,144362,20330.0,,588929.0,2322110.0,0.069,607.0,80.0,14.0,Electric utilities-southeast,19.0,Utility,5.770062940344258
LGE Energy,Mr. Roger W Hale,Baltimore,MD,50.0,U of Maryland,BA,65.0,21.0,MIT,MS,0.0,1.0,79.0,35.0,5.0,5.0,385000.0,261800,625145.0,,1271950.0,3946640.0,0.052,900.0,88.3,19.0,Electric utilities-southeast,19.0,Utility,6.104470039652891
San Diego GasElect,Mr. Thomas A Page,Niagara Falls,NY,61.0,Purdue U,BS,55.0,22.0,Purdue U,MBA,1.0,1.0,63.0,30.0,16.0,13.0,509203.0,337000,578848.0,,1425050.0,5789250.0,0.129,1980.0,218.7,10.0,Electric utilities-western,19.0,Utility,6.153830102480068
Hawaiian Electric In,Mr. Robert F Clarke,Oakland,CA,52.0,U of Cal Berkel,BA,65.0,23.0,U of Cal Berkel,MBA,1.0,1.0,66.0,24.0,7.0,3.0,403800.0,160578,10942.0,,575320.0,1989900.0,0.04,1142.0,48.7,8.0,Electric utilities-western,19.0,Utility,5.7599094717808645
SCEcorp,Mr. John E Bryson,New York,NY,50.0,Stanford U,BA,65.0,21.0,Yale,JD,0.0,1.0,69.0,25.0,10.0,4.0,600000.0,325000,185118.0,,1110120.0,3800110.0,0.001,7821.0,639.0,8.0,Electric utilities-western,19.0,Utility,6.045369927003763
Washington Water Pow,Mr. Paul A Redmond,Lakeview,OR,57.0,Gonzaga U,BS,65.0,28.0,,none,0.0,0.0,,,29.0,10.0,484167.0,286815,484486.0,,1255470.0,3081380.0,0.075,641.0,82.8,14.0,Electric utilities-western,19.0,Utility,6.098806339517981
Montana Power,Mr. Daniel T Berube,Boston,MA,60.0,U of Washington,BS,64.0,30.0,Montana C,MS,0.0,1.0,71.0,37.0,30.0,2.0,274100.0,,6296.0,,280396.0,841619.0,0.023,1076.0,107.2,14.0,Electric utilities-western,19.0,Utility,5.447771813894056
Public Service Co of,Mr. Delwin D Hock,Colorado Spring,CO,59.0,U of Colorado,BS,56.0,21.0,,none,0.0,0.0,,,32.0,6.0,425012.0,79300,21376.0,,525688.0,2097560.0,0.033,1999.0,157.4,16.0,Electric utilities-western,19.0,Utility,5.720728063392279
Pacific GasElectri,Mr. Richard A Clarke,San Francisco,CA,64.0,U of Cal Berkel,AB,52.0,22.0,U of Cal Berkel,JD,0.0,1.0,55.0,25.0,39.0,8.0,640000.0,143070,453676.0,,1236750.0,6387140.0,0.006,10582.0,1065.5,17.0,Electric utilities-western,19.0,Utility,6.0922819190362185
PacifiCorp,Dr. Frederick W Buckman,Kalamazoo,MI,48.0,U of Michigan,BS,66.0,20.0,MIT,PhD,0.0,1.0,70.0,24.0,1.0,1.0,504116.0,252083,,,756199.0,,0.014,3412.0,475.1,7.0,Electric utilities-western,19.0,Utility,5.8786360987144715
Idaho Power,Mr. Joseph W Marshall,Twin Falls,ID,55.0,US Naval Acad,BS,61.0,22.0,,none,0.0,0.0,,,25.0,5.0,315000.0,,9434.0,,324434.0,1314130.0,0.04,540.0,84.5,11.0,Electric utilities-western,19.0,Utility,5.511126361071283
Portland General,Mr. Ken L Harrison,Bakersfield,CA,51.0,Oregon State U,BS,64.0,21.0,Oregon State U,MS,0.0,1.0,66.0,23.0,19.0,5.0,415000.0,178472,56010.0,,649482.0,2673650.0,0.034,947.0,89.1,3.0,Electric utilities-western,19.0,Utility,5.812567119367477
