Make/Model,MPG_City,MPG_Hwy,Weight(lb),Seating,Horsepower,HP/Pound,Displacement,Cylinders,Origin,Transmission,EPA_Class,Length,Fuel,HEV,Turbocharger,Make,Model,GP1000M_City,GP1000M_Hwy,h GP1000M_City,Residual GP1000M_City,Residual GP1000M_City 2,Residual GP1000M_City 3
Chrysler_Crossfire_Roadster,15.0,23.0,3061.0,2.0,215.0,0.07023848415550474,3.2,6.0,1.0,M,2-seater,159.8,gas,no,no,Chrysler,Crossfire_Roadster,66.66666666666667,43.47826086956522,0.014526266667984709,12.332647054223912,12.714110671153115,13.202255206516078
Chrysler_Sebring_Convertible_FFV,18.0,26.0,3847.0,4.0,186.0,0.048349363140109174,2.7,6.0,1.0,A,subcompact,193.8,gas,no,no,Chrysler,Sebring_Convertible_FFV,55.55555555555556,38.46153846153846,0.007183643490306445,0.43410043411749655,0.1292101050890082,-0.213182584990399
Chrysler_Sebring_Convertible_FFV,13.0,19.0,3847.0,4.0,186.0,0.048349363140109174,2.7,6.0,1.0,A,subcompact,193.8,E85,no,no,Chrysler,Sebring_Convertible_FFV,76.92307692307692,52.63157894736842,0.04550348183129481,-4.409251701436304,-4.562724262825455,-4.82021916807949
Chrysler_Sebring_FFV,19.0,27.0,3324.0,5.0,189.0,0.05685920577617329,2.7,6.0,1.0,A,midsize,190.6,gas,no,no,Chrysler,Sebring_FFV,52.63157894736842,37.03703703703704,0.008909185243535407,1.481885350924209,1.376707691867992,1.161867095926297
Chrysler_Sebring_FFV,13.0,20.0,3324.0,5.0,189.0,0.05685920577617329,2.7,6.0,1.0,A,midsize,190.6,E85,no,no,Chrysler,Sebring_FFV,76.92307692307692,50.0,0.04946118631530827,-0.43749017644245214,-0.3912500678593318,-0.5211928789756541
Chrysler_300_SRT-8,18.0,26.0,3725.0,5.0,178.0,0.04778523489932886,2.7,6.0,1.0,A,large,196.8,gas,no,no,Chrysler,300_SRT-8,55.55555555555556,38.46153846153846,0.009547951967477937,2.5652177250074004,2.2480740284950613,1.8736822041942318
Chrysler_300_SRT-8,17.0,24.0,3762.0,5.0,250.0,0.06645401382243488,3.5,6.0,1.0,A,large,196.8,gas,no,no,Chrysler,300_SRT-8,58.8235294117647,41.666666666666664,0.008101556259562777,-0.32969806510713084,-0.2699530358071911,-0.2551813620470398
Chrysler_300_SRT-8,15.0,23.0,4096.0,5.0,340.0,0.0830078125,5.7,8.0,1.0,A,large,196.8,gas,no,no,Chrysler,300_SRT-8,66.66666666666667,43.47826086956522,0.008500916892694534,-2.7439548762732073,-2.308503965426567,-1.8618497758057515
Chrysler_Town_and_Country_FFV,17.0,24.0,4335.0,7.0,175.0,0.040369088811995385,3.3,6.0,1.0,A,minivan,202.5,gas,no,no,Chrysler,Town_and_Country_FFV,58.8235294117647,41.666666666666664,0.012093313159671767,1.4227111396029315,0.8691231960543675,0.34141603861981196
Chrysler_Town_and_Country_FFV,11.0,17.0,4335.0,7.0,175.0,0.040369088811995385,3.3,6.0,1.0,A,minivan,202.5,E85,no,no,Chrysler,Town_and_Country_FFV,90.9090909090909,58.8235294117647,0.04616609840539439,7.297399133853986,6.895228957944738,6.452419585335562
Chrysler_Aspen_FFV,14.0,19.0,4866.0,7.0,302.0,0.062063296341964655,4.7,8.0,1.0,A,suv2,202.1,gas,no,no,Chrysler,Aspen_FFV,71.42857142857143,52.63157894736842,0.00763188969792878,-1.0296536374384857,-1.0716071989017593,-0.9997179647550354
Chrysler_Aspen_FFV,9.0,12.0,4866.0,7.0,302.0,0.062063296341964655,4.7,8.0,1.0,A,suv2,202.1,E85,no,no,Chrysler,Aspen_FFV,111.11111111111111,83.33333333333333,0.04404319549009143,12.442012542026035,12.551476748202091,12.708263767174188
Chrysler_Pacifica,15.0,22.0,4355.0,5.0,200.0,0.045924225028702644,3.8,6.0,1.0,A,suv2,198.5,gas,no,no,Chrysler,Pacifica,66.66666666666667,45.45454545454545,0.008414915510652023,6.529025134401749,6.116547821950867,5.737432222005104
Chrysler_PT_Cruiser,19.0,24.0,3152.0,5.0,150.0,0.04758883248730964,2.4,4.0,1.0,A,suv2,168.9,gas,no,no,Chrysler,PT_Cruiser,52.63157894736842,41.666666666666664,0.01077379441528322,3.2747810579605883,3.084290743306312,2.7678808258892786
Chrysler_PT_Cruiser,21.0,26.0,3076.0,5.0,150.0,0.04876462938881664,2.4,4.0,1.0,M,suv2,168.9,gas,no,no,Chrysler,PT_Cruiser,47.61904761904762,38.46153846153846,0.010485967368986045,-0.3672279762145223,-0.3707653423133124,-0.2768483151415708
Chrysler_Aspen,13.0,18.0,5043.0,7.0,335.0,0.06642871306761848,5.7,8.0,1.0,A,suv4,202.1,gas,no,no,Chrysler,Aspen,76.92307692307692,55.55555555555556,0.008380689664875048,0.21982388915765227,0.29754833748179976,0.5174522343266403
Dodge_Viper_Coupe,13.0,22.0,3445.0,2.0,600.0,0.1741654571843251,8.4,10.0,1.0,M,2-seater,175.7,gas,no,no,Dodge,Viper_Coupe,76.92307692307692,45.45454545454545,0.06060460972376401,-9.896925404358711,-7.612030624202291,-5.137163231931638
Dodge_Avenger_SXT_FFV,19.0,27.0,3465.0,5.0,189.0,0.05454545454545454,2.7,6.0,1.0,A,midsize,190.9,gas,no,no,Dodge,Avenger_SXT_FFV,52.63157894736842,37.03703703703704,0.007807303612238515,0.27051873693044826,0.117645434038117,-0.1250474859880768
Dodge_Avenger_SXT_FFV,13.0,20.0,3465.0,5.0,189.0,0.05454545454545454,2.7,6.0,1.0,A,midsize,190.9,E85,no,no,Dodge,Avenger_SXT_FFV,76.92307692307692,50.0,0.047970680051423936,-1.6488567904361986,-1.6503123256892138,-1.808107460890028
Dodge_Caliber,24.0,29.0,2966.0,5.0,148.0,0.049898853674983146,1.8,4.0,1.0,M,midsize,173.8,gas,no,no,Dodge,Caliber,41.666666666666664,34.48275862068966,0.009564516434226972,-4.527812417477598,-4.521145689823811,-4.435528941078985
Dodge_Caliber,21.0,25.0,3308.0,5.0,173.0,0.05229746070133011,2.4,4.0,1.0,AV,midsize,173.8,gas,no,no,Dodge,Caliber,47.61904761904762,40.0,0.05507483874955532,0.8896932075397359,0.9066753046132092,0.9326338673623198
Dodge_Challenger,13.0,18.0,4140.0,5.0,425.0,0.10265700483091787,6.1,8.0,1.0,A,midsize,197.7,gas,no,no,Dodge,Challenger,76.92307692307692,55.55555555555556,0.016339681631701127,0.3540129721464922,1.231456991554083,2.1341448076096583
Dodge_Charger,18.0,26.0,3727.0,5.0,186.0,0.04990609068956265,2.7,6.0,1.0,A,large,200.1,gas,no,no,Dodge,Charger,55.55555555555556,38.46153846153846,0.01154853053948052,2.3392846580649262,2.0543075608293933,1.7113284560809703
Dodge_Charger,17.0,24.0,3800.0,5.0,250.0,0.06578947368421052,3.5,6.0,1.0,A,large,200.1,gas,no,no,Dodge,Charger,58.8235294117647,41.666666666666664,0.009875639169974422,-0.2268518325872506,-0.19011577892580078,-0.19477885615727075
Dodge_Charger,15.0,23.0,4031.0,5.0,335.0,0.08310592904986355,5.7,8.0,1.0,A,large,200.1,gas,no,no,Dodge,Charger,66.66666666666667,43.47826086956522,0.010316249069346271,-1.321808750922088,-0.9022413650570371,-0.4830004903300278
Dodge_Charger,13.0,18.0,4160.0,5.0,425.0,0.10216346153846154,6.1,8.0,1.0,A,large,200.1,gas,no,no,Dodge,Charger,76.92307692307692,55.55555555555556,0.01701689877390563,0.49658297955394914,1.3598250750189038,2.2498267649174295
Dodge_Caravan,16.0,23.0,4483.0,7.0,251.0,0.05598929288422931,4.0,6.0,1.0,A,minivan,202.5,gas,no,no,Dodge,Caravan,62.5,43.47826086956522,0.007965216036807499,-2.3729729081056803,-2.564854966769076,-2.702439771900387
Dodge_Caravan_FFV,17.0,24.0,4321.0,7.0,175.0,0.040499884286044896,3.3,6.0,1.0,A,minivan,202.5,gas,no,no,Dodge,Caravan_FFV,58.8235294117647,41.666666666666664,0.012066950858664726,1.5469611764901217,0.9980150065647067,0.47296295249772413
Dodge_Caravan_FFV,11.0,17.0,4321.0,7.0,175.0,0.040499884286044896,3.3,6.0,1.0,A,minivan,202.5,E85,no,no,Dodge,Caravan_FFV,90.9090909090909,58.8235294117647,0.04616814470723597,7.421649170741176,7.024120768455077,6.583966499213474
Dodge_Durango_FFV,14.0,19.0,4944.0,8.0,303.0,0.06128640776699029,4.7,8.0,1.0,A,suv2,200.8,gas,no,no,Dodge,Durango_FFV,71.42857142857143,52.63157894736842,0.007812701370515839,-1.9763100497982435,-2.034619113082499,-1.9672029825664907
Dodge_Durango_FFV,9.0,12.0,4944.0,8.0,303.0,0.06128640776699029,4.7,8.0,1.0,A,suv2,200.8,E85,no,no,Dodge,Durango_FFV,111.11111111111111,83.33333333333333,0.04453575970716844,11.495356129666277,11.588464834021352,11.740778749362732
Dodge_Magnum,18.0,26.0,3842.0,5.0,178.0,0.0463300364393545,2.7,6.0,1.0,A,suv2,197.7,gas,no,no,Dodge,Magnum,55.55555555555556,38.46153846153846,0.009524372471203784,1.6468686892746973,1.2880939704456509,0.8881781474967525
Dodge_Magnum,17.0,24.0,3879.0,5.0,250.0,0.06444960041247744,3.5,6.0,1.0,A,suv2,197.7,gas,no,no,Dodge,Magnum,58.8235294117647,41.666666666666664,0.007638111311972621,-1.248047100839834,-1.2299330938565873,-1.2406854187445333
Dodge_Magnum,15.0,23.0,4159.0,5.0,340.0,0.08175042077422458,5.7,8.0,1.0,A,suv2,197.7,gas,no,no,Dodge,Magnum,66.66666666666667,43.47826086956522,0.008320911556209766,-3.1830537697267545,-2.771329897221804,-2.339958593259894
Dodge_Nitro,16.0,22.0,3982.0,5.0,210.0,0.052737317930688095,3.7,6.0,1.0,A,suv2,178.9,gas,no,no,Dodge,Nitro,62.5,45.45454545454545,0.007391958433604694,2.2484797167764867,2.0755503511163838,1.8948265259088473
Dodge_Nitro,15.0,20.0,4151.0,5.0,260.0,0.06263550951577933,4.0,6.0,1.0,A,suv4,178.9,gas,no,no,Dodge,Nitro,66.66666666666667,50.0,0.008058132514451127,0.8635247236925778,0.9048099292873957,0.9671606002069524
Ford_Mustang,15.0,22.0,3500.0,4.0,300.0,0.08571428571428572,4.6,8.0,1.0,A,subcompact,187.6,gas,no,no,Ford,Mustang,66.66666666666667,45.45454545454545,0.009245807283491253,4.560008435246175,5.005889824281276,5.379565546335407
Ford_Mustang,15.0,23.0,3450.0,4.0,300.0,0.08695652173913043,4.6,8.0,1.0,M,subcompact,187.6,gas,no,no,Ford,Mustang,66.66666666666667,43.47826086956522,0.011570204520430095,5.699780660887072,6.323994561748975,7.103066322137813
Ford_Focus,24.0,33.0,2642.0,5.0,140.0,0.05299015897047691,2.0,4.0,1.0,A,compact,175.0,gas,no,no,Ford,Focus,41.666666666666664,30.303030303030305,0.01188454773981724,-1.5400192333367997,-1.634708345701938,-1.9320250678873379
Ford_Focus,24.0,35.0,2623.0,5.0,140.0,0.0533739992375143,2.0,4.0,1.0,M,compact,175.0,gas,no,no,Ford,Focus,41.666666666666664,28.571428571428573,0.010850705929242347,-0.6753720893746546,-0.6020069029357131,-0.49980674424314486
Ford_Fusion,20.0,28.0,3158.0,5.0,160.0,0.0506649778340722,2.3,4.0,1.0,A,midsize,190.2,gas,no,no,Ford,Fusion,50.0,35.714285714285715,0.010905925828456498,2.6202246353075083,2.4146034545442348,2.0731542610918083
Ford_Fusion,20.0,29.0,3101.0,5.0,160.0,0.051596259271202836,2.3,4.0,1.0,M,midsize,190.2,gas,no,no,Ford,Fusion,50.0,34.48275862068966,0.01557199088491509,3.8221218793920144,3.7971540972670823,3.862428493833171
Ford_Fusion,18.0,26.0,3280.0,5.0,221.0,0.06737804878048781,3.0,6.0,1.0,A,midsize,190.2,gas,no,no,Ford,Fusion,55.55555555555556,38.46153846153846,0.009333396015779438,2.149899487764756,2.233530405617941,2.204596854689278
Ford_Taurus,17.0,24.0,3814.0,5.0,263.0,0.06895647614053488,3.5,6.0,1.0,A,large,201.8,gas,no,no,Ford,Taurus,58.8235294117647,41.666666666666664,0.011172375942751122,-1.17783959266324,-1.0808436493202436,-1.022928523643813
Ford_Edge,16.0,24.0,4078.0,5.0,265.0,0.06498283472290338,3.5,6.0,1.0,A,suv2,185.7,gas,no,no,Ford,Edge,62.5,41.666666666666664,0.005041618299492796,-2.1535762017876294,-2.0825133744738764,-2.0040028744646605
Ford_Escape,20.0,26.0,3313.0,5.0,153.0,0.04618170842137036,2.3,4.0,1.0,A,suv2,174.7,gas,no,no,Ford,Escape,50.0,38.46153846153846,0.008267898763214836,-0.25527544122867596,-0.5012274533025547,-0.8531552461599787
Ford_Escape,22.0,28.0,3272.0,5.0,153.0,0.04676039119804401,2.3,4.0,1.0,M,suv2,174.7,gas,no,no,Ford,Escape,45.45454545454545,35.714285714285715,0.010196279541454805,-3.740832784755497,-3.8114362823317762,-3.759674889019344
Ford_Escape_Hybrid,34.0,30.0,3638.0,5.0,133.0,0.0365585486531061,2.3,4.0,1.0,AV,suv2,174.7,gas,yes,no,Ford,Escape_Hybrid,29.41176470588235,33.333333333333336,0.05954929999595272,2.617289299826087,2.380722742139337,2.08219839543575
Ford_Expedition,12.0,18.0,5578.0,9.0,300.0,0.053782717820007174,5.4,8.0,1.0,A,suv2,206.5,gas,no,no,Ford,Expedition,83.33333333333333,55.55555555555556,0.015174044326966934,5.3049713501148545,5.00226071358324,4.911809905192541
Ford_Explorer,14.0,20.0,4460.0,5.0,210.0,0.04708520179372197,4.0,6.0,1.0,A,suv2,193.4,gas,no,no,Ford,Explorer,71.42857142857143,50.0,0.007356715714711651,8.868556499038917,8.491403356291919,8.16629744130585
Ford_Explorer,13.0,20.0,4542.0,5.0,292.0,0.06428885953324527,4.6,8.0,1.0,A,suv2,193.4,gas,no,no,Ford,Explorer,76.92307692307692,50.0,0.005529062669559895,6.990447985760866,7.029313064178609,7.139861463784882
Ford_Edge,15.0,22.0,4288.0,5.0,265.0,0.06180037313432836,3.5,6.0,1.0,A,suv4,185.7,gas,no,no,Ford,Edge,66.66666666666667,45.45454545454545,0.005766180107333107,0.14933991157121795,0.15077613453773608,0.18946008403344194
Ford_Escape,19.0,24.0,3465.0,5.0,153.0,0.04415584415584416,2.3,4.0,1.0,A,suv4,174.7,gas,no,no,Ford,Escape,52.63157894736842,41.666666666666664,0.008535867805129231,1.0273031056502688,0.7309546942393439,0.3502000648197594
Ford_Escape,17.0,22.0,3547.0,5.0,200.0,0.05638567803777841,3.0,6.0,1.0,A,suv4,174.7,gas,no,no,Ford,Escape,58.8235294117647,45.45454545454545,0.007703522201310918,2.6828619123916795,2.6133585351514483,2.475670449579269
Ford_Escape_Hybrid,29.0,27.0,3794.0,5.0,133.0,0.03505535055350553,2.3,4.0,1.0,AV,suv4,174.7,gas,no,no,Ford,Escape_Hybrid,34.48275862068966,37.03703703703704,0.05953701347877163,-13.198423827216182,-13.561614570948478,-13.85126125502967
Ford_Explorer,13.0,19.0,4632.0,5.0,210.0,0.04533678756476684,4.0,6.0,1.0,A,suv4,193.4,gas,no,no,Ford,Explorer,76.92307692307692,52.63157894736842,0.00884755594509578,12.836561540358943,12.402380893098979,12.044655136739948
Ford_Explorer,13.0,19.0,4712.0,5.0,292.0,0.06196943972835314,4.6,8.0,1.0,A,suv4,193.4,gas,no,no,Ford,Explorer,76.92307692307692,52.63157894736842,0.006469542770909845,5.481697537844994,5.46419822226737,5.542506080981752
GMC_Acadia,16.0,24.0,4722.0,7.0,275.0,0.05823803473104617,3.6,6.0,1.0,A,suv2,200.7,gas,no,no,GMC,Acadia,62.5,41.666666666666664,0.007177383197717685,-6.678989265845644,-6.814716160490406,-6.858897346447591
GMC_Envoy,14.0,20.0,4404.0,5.0,285.0,0.06471389645776567,4.2,6.0,1.0,A,suv2,191.6,gas,no,no,GMC,Envoy,71.42857142857143,50.0,0.005132425916641552,3.047884779805784,3.100347960613675,3.2052203802752217
GMC_Envoy,14.0,20.0,4612.0,5.0,300.0,0.06504770164787511,5.3,8.0,1.0,A,suv2,191.6,gas,no,no,GMC,Envoy,71.42857142857143,50.0,0.006121458735181967,-0.013639632573287486,0.05093427740240486,0.19889706306506127
GMC_Yukon_1500,14.0,19.0,5270.0,6.0,295.0,0.055977229601518026,4.8,8.0,1.0,A,suv2,202.0,gas,no,no,GMC,Yukon_1500,71.42857142857143,52.63157894736842,0.011110823544945922,-4.061246484375914,-4.274667557009806,-4.317544027467676
GMC_Yukon_1500,12.0,19.0,5635.0,7.0,380.0,0.06743566992014197,6.2,8.0,1.0,A,suv2,202.0,gas,no,no,GMC,Yukon_1500,83.33333333333333,52.63157894736842,0.014299121014779835,-2.283829105913867,-2.1588472510229195,-1.8032329017547255
GMC_Yukon_1500_FFV,14.0,20.0,5270.0,5.0,320.0,0.06072106261859583,5.3,8.0,1.0,A,suv2,202.0,gas,no,no,GMC,Yukon_1500_FFV,71.42857142857143,50.0,0.010347804548965911,-6.087119591610673,-6.165416959248816,-6.070730736317472
GMC_Yukon_1500_FFV,11.0,15.0,5270.0,5.0,320.0,0.06072106261859583,5.3,8.0,1.0,A,suv2,202.0,E85,no,no,GMC,Yukon_1500_FFV,90.9090909090909,66.66666666666667,0.046438277247450505,-12.81747361416636,-12.744353214165159,-12.564769206408457
GMC_Yukon_Hybrid,21.0,22.0,5270.0,7.0,332.0,0.06299810246679317,6.0,8.0,1.0,AV,suv2,202.0,gas,yes,no,GMC,Yukon_Hybrid,47.61904761904762,45.45454545454545,0.06390529530812854,-6.144585086912855,-5.932783198660466,-5.54697695386141
GMC_Acadia,16.0,22.0,4936.0,7.0,275.0,0.05571312803889789,3.6,6.0,1.0,A,suv4,200.7,gas,no,no,GMC,Acadia,62.5,45.45454545454545,0.00847200652653103,-8.578239829692649,-8.78491954971986,-8.869685887152698
GMC_Yukon_Denali,12.0,17.0,5635.0,7.0,380.0,0.06743566992014197,6.2,8.0,1.0,A,suv4,202.0,gas,no,no,GMC,Yukon_Denali,83.33333333333333,58.8235294117647,0.014299121014779835,-2.283829105913867,-2.1588472510229195,-1.8032329017547255
GMC_Yukon_XL_1500_FFV,14.0,19.0,5771.0,7.0,310.0,0.053716860162883386,5.3,8.0,1.0,A,suv4,222.4,gas,no,no,GMC,Yukon_XL_1500_FFV,71.42857142857143,52.63157894736842,0.02408305231232647,-7.002551157871849,-7.365359151682327,-7.496304308060445
GMC_Yukon_XL_1500_FFV,11.0,14.0,5771.0,7.0,310.0,0.053716860162883386,5.3,8.0,1.0,A,suv4,222.4,E85,no,no,GMC,Yukon_XL_1500_FFV,90.9090909090909,71.42857142857143,0.05192804675673578,-13.732905180427537,-13.94429540659867,-13.99034277815143
GMC_Yukon_1500_Hybrid,20.0,20.0,5527.0,7.0,332.0,0.06006875339243713,6.0,8.0,1.0,AV,suv4,202.0,gas,yes,no,GMC,Yukon_1500_Hybrid,50.0,50.0,0.06621902557386022,-6.044508383103846,-5.9179161963621425,-5.580850063381995
Honda_S2000,18.0,25.0,2864.0,2.0,237.0,0.08275139664804469,2.2,4.0,3.0,M,2-seater,162.2,gas,no,no,Honda,S2000,55.55555555555556,40.0,0.012809855364742329,1.50721318790508,2.0653312324467237,2.7029989140324417
Honda_Civic,25.0,36.0,2690.0,5.0,140.0,0.05204460966542751,1.8,4.0,3.0,A,subcompact,176.7,gas,no,no,Honda,Civic,40.0,27.77777777777778,0.011523024801223856,-3.405969733900548,-3.521936161980996,-3.834655389999263
Honda_Civic,26.0,34.0,2628.0,5.0,140.0,0.0532724505327245,1.8,4.0,3.0,M,subcompact,176.7,gas,no,no,Honda,Civic,38.46153846153846,29.41176470588235,0.011363850659644252,-3.6981590151035775,-3.631814268251702,-3.536861655048753
Honda_Civic,21.0,29.0,2945.0,5.0,197.0,0.06689303904923599,2.0,4.0,3.0,M,subcompact,176.7,gas,no,no,Honda,Civic,47.61904761904762,34.48275862068966,0.008838510470402615,-1.9730163773210023,-1.7036926001172716,-1.3552161722382365
Honda_Accord_Coupe,21.0,30.0,3283.0,5.0,190.0,0.057873895826987515,2.4,4.0,3.0,A,compact,190.9,gas,no,no,Honda,Accord_Coupe,47.61904761904762,33.333333333333336,0.009485509367306213,-3.207797036146303,-3.2949223337378584,-3.497596402250103
Honda_Accord_Coupe,22.0,31.0,3221.0,5.0,190.0,0.05898789195901894,2.4,4.0,3.0,M,compact,190.9,gas,no,no,Honda,Accord_Coupe,45.45454545454545,32.25806451612903,0.014224062267204584,-4.1260269433899595,-4.030841066049192,-3.8258432933402347
Honda_Accord_Coupe,19.0,28.0,3569.0,5.0,268.0,0.07509106192210703,3.5,6.0,3.0,A,compact,190.9,gas,no,no,Honda,Accord_Coupe,52.63157894736842,35.714285714285715,0.007690574687157781,-7.054240555950507,-6.814604697971113,-6.6423231319035665
Honda_Accord_Coupe,17.0,25.0,3446.0,5.0,268.0,0.07777132907719095,3.5,6.0,3.0,M,compact,190.9,gas,no,no,Honda,Accord_Coupe,58.8235294117647,40.0,0.012309737827409989,0.92535732642704,1.3675292301253492,1.9590513020870617
Honda_Civic_Hybrid,40.0,45.0,2877.0,5.0,110.0,0.03823427181091415,1.3,4.0,3.0,AV,compact,176.7,gas,yes,no,Honda,Civic_Hybrid,25.0,22.22222222222222,0.06165792122314176,7.089929907768035,6.97505407779034,6.6868849517648385
Honda_Accord,21.0,31.0,3408.0,5.0,190.0,0.05575117370892019,2.4,4.0,3.0,A,large,194.1,gas,no,no,Honda,Accord,47.61904761904762,32.25806451612903,0.010047971658602151,-3.8904122853582663,-4.029076415321647,-4.267314259029767
Honda_Accord,22.0,31.0,3349.0,5.0,190.0,0.05673335323977307,2.4,4.0,3.0,M,large,194.1,gas,no,no,Honda,Accord,45.45454545454545,32.25806451612903,0.01609003813052711,-4.835267200506323,-4.792614821313769,-4.623749774522302
Honda_Accord,19.0,29.0,3567.0,5.0,268.0,0.0751331651247547,3.5,6.0,3.0,A,large,194.1,gas,no,no,Honda,Accord,52.63157894736842,34.48275862068966,0.009108923707788416,-6.609730470542978,-6.379525927068258,-6.2187225556479575
Honda_Fit,27.0,34.0,2514.0,5.0,109.0,0.04335719968178202,1.5,4.0,3.0,A,smallwagon,157.4,gas,no,no,Honda,Fit,37.03703703703704,29.41176470588235,0.019444384652100258,-4.868746313499599,-5.033030409311003,-5.411433417304117
Honda_Fit,28.0,34.0,2432.0,5.0,109.0,0.04481907894736842,1.5,4.0,3.0,M,smallwagon,157.4,gas,no,no,Honda,Fit,35.714285714285715,29.41176470588235,0.014525755309999685,-4.767725326296421,-4.743067141999575,-4.710005303960685
Honda_Odyssey,16.0,23.0,4385.0,7.0,244.0,0.0556442417331813,3.5,6.0,3.0,A,minivan,202.1,gas,no,no,Honda,Odyssey,62.5,43.47826086956522,0.007999136917749342,-0.9893231898869033,-1.1852856674592331,-1.3413201162755328
Honda_CR-V,20.0,27.0,3389.0,5.0,166.0,0.048982000590144584,2.4,4.0,3.0,A,suv2,177.9,gas,no,no,Honda,CR-V,50.0,37.03703703703704,0.007054451997560128,-1.556469577097559,-1.767449887264462,-2.0741159929688777
Honda_Element,20.0,25.0,3499.0,4.0,166.0,0.04744212632180623,2.4,4.0,3.0,A,suv2,169.3,gas,no,no,Honda,Element,50.0,40.0,0.011319720694751637,-3.679637582296138,-3.899960203683257,-4.195620817689807
Honda_Element,18.0,23.0,3433.0,4.0,166.0,0.04835420914651908,2.4,4.0,3.0,M,suv2,169.3,gas,no,no,Honda,Element,55.55555555555556,43.47826086956522,0.012332300615284779,3.157690241057125,3.1210050156375146,3.233774843814338
Honda_Pilot,16.0,22.0,4310.0,8.0,250.0,0.058004640371229696,3.5,6.0,3.0,A,suv2,190.9,gas,no,no,Honda,Pilot,62.5,45.45454545454545,0.005070089733158756,-2.303567818496049,-2.4069034748816875,-2.4741978762949373
Honda_CR-V,20.0,26.0,3501.0,5.0,166.0,0.047415024278777494,2.4,4.0,3.0,A,suv4,177.9,gas,no,no,Honda,CR-V,50.0,38.46153846153846,0.007086655186306235,-2.550469872195052,-2.798584371347161,-3.1264913039921183
Honda_Element,19.0,24.0,3645.0,4.0,166.0,0.045541838134430725,2.4,4.0,3.0,A,suv4,169.3,gas,no,no,Honda,Element,52.63157894736842,41.666666666666664,0.012364444045846301,-2.3438090196083934,-2.6125387087797804,-2.9358882579052477
Honda_Element,18.0,23.0,3567.0,4.0,166.0,0.04653770675637791,2.4,4.0,3.0,M,suv4,169.3,gas,no,no,Honda,Element,55.55555555555556,43.47826086956522,0.013860814490214535,1.9684398879940517,1.8873262578957153,1.9746829538401087
Honda_Pilot,15.0,20.0,4504.0,8.0,250.0,0.05550621669626998,3.5,6.0,3.0,A,suv4,190.9,gas,no,no,Honda,Pilot,66.66666666666667,50.0,0.0061131610157610945,0.14134833701960758,-0.026309039572552706,-0.1303955876506535
Hummer_H3,13.0,18.0,4689.0,5.0,242.0,0.05161015141821284,3.7,5.0,1.0,M,suv4,186.7,gas,no,no,Hummer,H3,76.92307692307692,55.55555555555556,0.019430981712255536,9.54006198902708,9.44283098568765,9.671115569888585
Hummer_H3,13.0,16.0,4840.0,5.0,300.0,0.06198347107438017,5.3,8.0,1.0,A,suv4,186.7,gas,no,no,Hummer,H3,76.92307692307692,62.5,0.010084694442615338,2.80388888848681,2.8083252877722487,2.9312046080069223
Hyundai_Tiburon,20.0,27.0,2972.0,4.0,138.0,0.046433378196500674,2.0,4.0,3.0,A,subcompact,173.0,gas,no,no,Hyundai,Tiburon,50.0,37.03703703703704,0.009689841656140683,3.759908029005416,3.5513048004767356,3.1878094178970215
Hyundai_Tiburon,20.0,28.0,2898.0,4.0,138.0,0.047619047619047616,2.0,4.0,3.0,M,subcompact,173.0,gas,no,no,Hyundai,Tiburon,50.0,35.714285714285715,0.0099290362464072,5.112680317881512,5.090366927390711,5.1368191889187
Hyundai_Tiburon,17.0,24.0,3010.0,4.0,172.0,0.05714285714285714,2.7,6.0,3.0,A,subcompact,173.0,gas,no,no,Hyundai,Tiburon,58.8235294117647,41.666666666666664,0.009201783643752485,9.490999914808476,9.45356582523975,9.26994899652884
Hyundai_Tiburon,17.0,24.0,2969.0,4.0,172.0,0.057931963624115866,2.7,6.0,3.0,M,subcompact,173.0,gas,no,no,Hyundai,Tiburon,58.8235294117647,41.666666666666664,0.008835508789471584,10.550897116736188,10.688811541665075,10.908883899124021
Hyundai_Accent,24.0,33.0,2403.0,5.0,110.0,0.04577611319184353,1.6,4.0,3.0,A,compact,168.5,gas,no,no,Hyundai,Accent,41.666666666666664,30.303030303030305,0.01479998900142692,2.1452977122817387,1.9882061616005728,1.595226151816675
Hyundai_Accent,27.0,32.0,2365.0,5.0,110.0,0.046511627906976744,1.6,4.0,3.0,M,compact,168.5,gas,no,no,Hyundai,Accent,37.03703703703704,31.25,0.011961982377909198,-1.4510597233245335,-1.433797425284503,-1.4236571996201732
Hyundai_Elantra,25.0,33.0,2747.0,5.0,138.0,0.050236621769202766,2.0,4.0,3.0,A,midsize,177.4,gas,no,no,Hyundai,Elantra,40.0,30.303030303030305,0.011035117352308863,-3.6564212679751478,-3.804304397680262,-4.141432531939792
Hyundai_Elantra,24.0,33.0,2723.0,5.0,138.0,0.050679397723099526,2.0,4.0,3.0,M,midsize,177.4,gas,no,no,Hyundai,Elantra,41.666666666666664,30.303030303030305,0.011140010673405303,-1.0807324441723338,-1.0589034987793866,-0.9955665009582475
Hyundai_Azera,18.0,26.0,3629.0,5.0,234.0,0.06448057316065031,3.3,6.0,3.0,A,large,192.7,gas,no,no,Hyundai,Azera,55.55555555555556,38.46153846153846,0.00705879809304449,-1.6675241349344532,-1.6372279453520875,-1.6700804977360022
