Index,Date,Daily Zoo Attendance,Log attendance,Revenue,Average Ticket Price,MaxTemp,Gas price,Total Ad Stock,Ad,Weather Condition,Weather Condition refined,Holiday/Events,Month,Season,day of the week,Weekend?,Events_recode,Weather_recode_2
129.0,2004-08-07,15299.0,9.63554274576738,124074.88999999998,8.11,86.0,2.12,1192.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
130.0,2004-08-08,15774.0,9.666118293957936,127769.4,8.1,85.0,2.12,1157.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
131.0,2004-08-09,7735.0,8.953510763007166,63194.95,8.17,84.0,2.12,1157.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
132.0,2004-08-10,7156.0,8.87570644462861,58464.52,8.17,91.0,2.12,1158.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
133.0,2004-08-11,28712.0,10.265070432827443,2871.2000000000003,0.1,99.0,2.11,1159.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
134.0,2004-08-12,4088.0,8.31581113188354,33276.32,8.14,94.0,2.11,1161.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
135.0,2004-08-13,2372.0,7.771488760117616,19236.92,8.11,102.0,2.11,1163.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
136.0,2004-08-14,7612.0,8.93748122841604,61733.31999999999,8.11,96.0,2.11,1165.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
137.0,2004-08-15,4241.0,8.352554369474591,34436.92,8.12,76.0,2.11,1168.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Sun,Yes,NONE,NOT GOOD WEATHER
138.0,2004-08-16,1663.0,7.416378479192928,13553.45,8.15,78.0,2.11,1140.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
139.0,2004-08-17,10395.0,9.249080200292113,84719.25,8.15,89.0,2.11,1101.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
140.0,2004-08-18,26739.0,10.193878452798828,2673.9,0.1,82.0,2.1,1115.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
141.0,2004-08-19,6041.0,8.706324840138741,49354.97,8.17,77.0,2.1,1126.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
142.0,2004-08-20,5892.0,8.681350777582521,48019.8,8.15,82.0,2.1,1136.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
143.0,2004-08-21,3848.0,8.255308811785596,31245.76,8.12,95.0,2.1,1145.0,yes,RAIN,RAIN,AnimalOlympcs,AUG,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
144.0,2004-08-22,15925.0,9.675645480440364,129151.74999999999,8.11,91.0,2.1,1152.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,AnimalOlympcs,AUG,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
145.0,2004-08-23,9060.0,9.111624399037025,73839.0,8.15,84.0,2.1,1158.0,yes,SUNNY/CLOUDY,Sunny,NONE,AUG,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
146.0,2004-08-24,8563.0,9.055205875026193,69874.08,8.16,80.0,2.1,1163.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,AUG,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
147.0,2004-08-25,34314.0,10.443308713143372,3431.4,0.1,84.0,2.09,1168.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
148.0,2004-08-26,9524.0,9.161570207606754,77525.36,8.14,85.0,2.09,1171.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,AUG,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
149.0,2004-08-27,6534.0,8.784774592161016,53186.76,8.14,83.0,2.08,1175.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
150.0,2004-08-28,8787.0,9.081028635495842,71174.7,8.1,83.0,2.08,1177.0,yes,RAIN,RAIN,OutofSite,AUG,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
151.0,2004-08-29,8011.0,8.988570876215118,64889.1,8.1,87.0,2.08,1179.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,OutofSite,AUG,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
152.0,2004-08-30,4313.0,8.369388996647842,35107.82,8.14,86.0,2.07,1155.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
153.0,2004-08-31,3887.0,8.265392930852224,31562.44,8.12,87.0,2.07,1136.0,yes,RAIN,RAIN,NONE,AUG,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
154.0,2004-09-01,26512.0,10.185352739666344,2651.2000000000003,0.1,83.0,2.06,1122.0,yes,SUNNY/CLOUDY,Sunny,NONE,SEP,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
155.0,2004-09-02,7257.0,8.889721799278137,58999.41,8.13,80.0,2.06,1112.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,SEP,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
156.0,2004-09-03,6235.0,8.737933858114136,50877.6,8.16,79.0,2.05,1104.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,LABDAY,SEP,HIGH SEASON,Fri,No,Have Events,GOOD WEATHER
157.0,2004-09-04,9430.0,9.151651375627504,76571.59999999999,8.12,86.0,2.05,1098.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,AnimalEats,SEP,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
158.0,2004-09-05,14194.0,9.560574619084928,115113.34,8.11,73.0,2.05,1093.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,AnimalEats,SEP,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
159.0,2004-09-06,12927.0,9.467073426283948,104837.96999999999,8.11,75.0,2.04,1090.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,AnimalEats,SEP,HIGH SEASON,Mon,No,Have Events,GOOD WEATHER
160.0,2004-09-07,2743.0,7.916807490937603,22300.590000000004,8.13,81.0,2.04,1087.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
161.0,2004-09-08,1093.0,6.996681488176539,109.30000000000001,0.1,76.0,2.03,1035.0,yes,RAIN,RAIN,NONE,SEP,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
162.0,2004-09-09,424.0,6.049733455231958,3430.16,8.09,81.0,2.03,988.0,yes,RAIN,RAIN,NONE,SEP,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
163.0,2004-09-10,3340.0,8.113726085970747,27321.2,8.18,83.0,2.03,944.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,SEP,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
164.0,2004-09-11,8070.0,8.995908761263994,65770.5,8.15,74.0,2.02,904.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,Grandparents,SEP,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
165.0,2004-09-12,8181.0,9.009569671513699,66675.15000000001,8.15,78.0,2.02,867.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,Grandparents,SEP,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
166.0,2004-09-13,1526.0,7.330405211844402,12558.980000000001,8.23,83.0,2.01,728.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,SEP,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
167.0,2004-09-14,1355.0,7.2115567333138015,11205.849999999999,8.27,73.0,2.01,626.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
168.0,2004-09-15,4583.0,8.430109084509125,458.3,0.1,74.0,2.01,549.0,yes,RAIN,RAIN,NONE,SEP,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
169.0,2004-09-16,7071.0,8.863757191604241,57770.07,8.17,80.0,2.0,489.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
170.0,2004-09-17,2219.0,7.704811922932594,18240.18,8.22,78.0,2.0,441.0,yes,RAIN,RAIN,NONE,SEP,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
171.0,2004-09-18,1941.0,7.57095858316901,15663.87,8.07,74.0,1.99,402.0,yes,RAIN,RAIN,HispanicWeekend,SEP,HIGH SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
172.0,2004-09-19,9627.0,9.172326929777967,79422.75,8.25,69.0,1.99,369.0,yes,SUNNY/CLOUDY,Sunny,HispanicWeekend,SEP,HIGH SEASON,Sun,Yes,Have Events,GOOD WEATHER
173.0,2004-09-20,1370.0,7.222566018822171,11343.599999999999,8.28,72.0,2.0,341.0,yes,SUNNY/CLOUDY,Sunny,NONE,SEP,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
174.0,2004-09-21,1441.0,7.273092595999522,12017.94,8.34,82.0,2.01,316.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,SEP,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
175.0,2004-09-22,5993.0,8.698347400458186,599.3000000000001,0.1,85.0,2.03,295.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,SEP,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
176.0,2004-09-23,1599.0,7.377133712833954,13287.69,8.31,84.0,2.04,275.0,yes,SUNNY/CLOUDY,Sunny,NONE,SEP,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
177.0,2004-09-24,2241.0,7.714677473800927,18510.66,8.26,74.0,2.04,258.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
178.0,2004-09-25,7703.0,8.949365142352965,62548.35999999999,8.12,77.0,2.04,242.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
179.0,2004-09-26,9154.0,9.121946221213587,74422.02,8.13,79.0,2.04,227.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
180.0,2004-09-27,1306.0,7.174724309836376,10748.380000000001,8.23,75.0,2.04,214.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
181.0,2004-09-28,80.0,4.382026634673881,8.0,0.1,74.0,2.04,201.0,yes,RAIN,RAIN,NONE,SEP,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
182.0,2004-09-29,2498.0,7.823245690685523,249.8,0.1,67.0,2.04,189.0,yes,RAIN,RAIN,NONE,SEP,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
183.0,2004-09-30,1509.0,7.319202458767849,12585.06,8.34,68.0,2.04,178.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,SEP,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
184.0,2004-10-01,2908.0,7.97522083865341,23961.920000000002,8.24,71.0,2.04,168.0,yes,SUNNY/CLOUDY,Sunny,NONE,OCT,LOW SEASON,Fri,No,NONE,GOOD WEATHER
185.0,2004-10-02,3961.0,8.284251797621916,32361.37,8.17,78.0,2.03,159.0,yes,RAIN,RAIN,NONE,OCT,LOW SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
186.0,2004-10-03,6069.0,8.710949125835855,49340.97,8.13,76.0,2.03,150.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Sun,Yes,NONE,GOOD WEATHER
187.0,2004-10-04,3941.0,8.279189777195004,32158.56,8.16,74.0,2.03,141.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Mon,No,NONE,GOOD WEATHER
188.0,2004-10-05,3348.0,8.116118431609365,27353.16,8.17,76.0,2.03,133.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Tue,No,NONE,GOOD WEATHER
189.0,2004-10-06,4896.0,8.496173824192162,489.6,0.1,76.0,2.03,126.0,yes,SUNNY/CLOUDY,Sunny,NONE,OCT,LOW SEASON,Wed,No,NONE,GOOD WEATHER
190.0,2004-10-07,3239.0,8.08301991917133,27337.16,8.44,75.0,2.03,119.0,yes,SUNNY/CLOUDY,Sunny,NONE,OCT,LOW SEASON,Thu,No,NONE,GOOD WEATHER
191.0,2004-10-08,3565.0,8.178919332848396,29268.65,8.21,73.0,2.03,112.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Fri,No,NONE,GOOD WEATHER
192.0,2004-10-09,6353.0,8.756682421266532,51904.01,8.17,60.0,2.03,106.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,OCT,LOW SEASON,Sat,Yes,NONE,GOOD WEATHER
193.0,2004-10-10,7893.0,8.973731569708402,64091.159999999996,8.12,62.0,2.03,100.0,yes,RAIN,RAIN,NONE,OCT,LOW SEASON,Sun,Yes,NONE,NOT GOOD WEATHER
194.0,2004-10-11,6806.0,8.82555985506085,55468.9,8.15,64.0,2.03,95.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,ExtremeXplorers,OCT,LOW SEASON,Mon,No,Have Events,GOOD WEATHER
195.0,2004-10-12,1825.0,7.509335266016592,15074.5,8.26,59.0,2.03,90.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Tue,No,NONE,GOOD WEATHER
196.0,2004-10-13,5706.0,8.649273531773446,570.6,0.1,61.0,2.03,85.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Wed,No,NONE,GOOD WEATHER
197.0,2004-10-14,3391.0,8.128880142125638,27195.82,8.02,64.0,2.03,80.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,OCT,LOW SEASON,Thu,No,NONE,GOOD WEATHER
198.0,2004-10-15,923.0,6.827629234502852,7928.57,8.59,74.0,2.03,76.0,yes,RAIN,RAIN,NONE,OCT,LOW SEASON,Fri,No,NONE,NOT GOOD WEATHER
199.0,2004-10-16,3531.0,8.169336395928386,28812.96,8.16,66.0,2.03,72.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,OCT,LOW SEASON,Sat,Yes,NONE,GOOD WEATHER
200.0,2004-10-17,4354.0,8.378850241794492,35398.020000000004,8.13,65.0,2.03,68.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Sun,Yes,NONE,GOOD WEATHER
201.0,2004-10-18,1317.0,7.183111701743281,10983.78,8.34,71.0,2.02,64.0,yes,RAIN,RAIN,NONE,OCT,LOW SEASON,Mon,No,NONE,NOT GOOD WEATHER
202.0,2004-10-19,720.0,6.579251212010101,5889.599999999999,8.18,70.0,2.02,61.0,yes,RAIN,RAIN,NONE,OCT,LOW SEASON,Tue,No,NONE,NOT GOOD WEATHER
203.0,2004-10-20,3755.0,8.230843564198235,375.5,0.1,61.0,2.02,58.0,yes,RAIN,RAIN,NONE,OCT,LOW SEASON,Wed,No,NONE,NOT GOOD WEATHER
204.0,2004-10-21,2330.0,7.753623546559746,19036.1,8.17,55.0,2.02,55.0,yes,RAIN,RAIN,NONE,OCT,LOW SEASON,Thu,No,NONE,NOT GOOD WEATHER
205.0,2004-10-22,12607.0,9.44200749423127,104007.75,8.25,53.0,2.02,52.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,BooZoo,OCT,LOW SEASON,Fri,No,Have Events,GOOD WEATHER
206.0,2004-10-23,5803.0,8.666130304190608,47294.450000000004,8.15,56.0,2.02,49.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,BooZoo,OCT,LOW SEASON,Sat,Yes,Have Events,GOOD WEATHER
207.0,2004-10-24,3907.0,8.27052509505507,31685.769999999997,8.11,53.0,2.02,46.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,OCT,LOW SEASON,Sun,Yes,NONE,GOOD WEATHER
208.0,2004-10-25,1057.0,6.963189985870238,8762.529999999999,8.29,52.0,2.02,44.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,OCT,LOW SEASON,Mon,No,NONE,GOOD WEATHER
209.0,2004-10-26,3906.0,8.270269111436624,32068.260000000002,8.21,52.0,2.02,42.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,OCT,LOW SEASON,Tue,No,NONE,GOOD WEATHER
210.0,2004-10-27,5808.0,8.666991556504632,580.8000000000001,0.1,50.0,2.02,40.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Wed,No,NONE,GOOD WEATHER
211.0,2004-10-28,4557.0,8.424419791263883,37777.53,8.29,49.0,2.02,38.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,OCT,LOW SEASON,Thu,No,NONE,GOOD WEATHER
212.0,2004-10-29,2035.0,7.618251097876695,16564.9,8.14,50.0,2.02,36.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,OCT,LOW SEASON,Fri,No,NONE,GOOD WEATHER
213.0,2004-10-30,2813.0,7.9420068084898565,22729.04,8.08,68.0,2.02,34.0,yes,RAIN,RAIN,BooZoo,OCT,LOW SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
214.0,2004-10-31,7201.0,8.881975184248867,58328.1,8.1,69.0,2.02,32.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,BooZoo,OCT,LOW SEASON,Sun,Yes,Have Events,GOOD WEATHER
215.0,2004-11-01,1451.0,7.280008252884188,8981.69,6.19,62.0,2.02,30.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,NOV,LOW SEASON,Mon,No,NONE,GOOD WEATHER
216.0,2004-11-02,1411.0,7.252053951852814,8635.32,6.12,60.0,2.02,29.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,NOV,LOW SEASON,Tue,No,NONE,GOOD WEATHER
217.0,2004-11-03,2940.0,7.986164860332727,294.0,0.1,59.0,2.01,27.0,yes,RAIN,RAIN,NONE,NOV,LOW SEASON,Wed,No,NONE,NOT GOOD WEATHER
218.0,2004-11-04,1230.0,7.114769448366463,7490.7,6.09,52.0,2.01,26.0,yes,RAIN,RAIN,NONE,NOV,LOW SEASON,Thu,No,NONE,NOT GOOD WEATHER
219.0,2004-11-05,2050.0,7.6255950721324535,12505.0,6.1,55.0,2.01,25.0,yes,RAIN,RAIN,NONE,NOV,LOW SEASON,Fri,No,NONE,NOT GOOD WEATHER
220.0,2004-11-06,2298.0,7.739794458408701,14063.76,6.12,60.0,2.01,23.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,NOV,LOW SEASON,Sat,Yes,NONE,GOOD WEATHER
221.0,2004-11-07,3677.0,8.209852481301272,22503.24,6.12,69.0,2.01,22.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,HarvestFstvl,NOV,LOW SEASON,Sun,Yes,Have Events,GOOD WEATHER
222.0,2004-11-08,672.0,6.51025834052315,4092.48,6.09,58.0,2.01,21.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,NOV,LOW SEASON,Mon,No,NONE,GOOD WEATHER
223.0,2004-11-09,991.0,6.898714534329988,6045.099999999999,6.1,42.0,2.01,20.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,NOV,LOW SEASON,Tue,No,NONE,GOOD WEATHER
224.0,2004-11-10,3218.0,8.076515327552329,321.8,0.1,44.0,2.01,19.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,NOV,LOW SEASON,Wed,No,NONE,GOOD WEATHER
225.0,2004-11-11,2453.0,7.8050670442584895,14963.3,6.1,57.0,2.01,18.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,NOV,LOW SEASON,Thu,No,NONE,GOOD WEATHER
226.0,2004-11-12,606.0,6.406879986069314,3654.1800000000003,6.03,48.0,2.01,17.0,yes,RAIN,RAIN,NONE,NOV,LOW SEASON,Fri,No,NONE,NOT GOOD WEATHER
227.0,2004-11-13,866.0,6.763884908562435,5230.64,6.04,44.0,2.01,16.0,yes,SNOW,SIGNIFICANTSNOW,NONE,NOV,LOW SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
228.0,2004-11-14,1174.0,7.068172000388042,7173.14,6.11,50.0,2.01,16.0,yes,SUNNY/CLOUDY,Sunny,NONE,NOV,LOW SEASON,Sun,Yes,NONE,GOOD WEATHER
229.0,2004-11-15,425.0,6.052089168924417,2639.25,6.21,60.0,2.01,15.0,yes,SUNNY/CLOUDY,Sunny,NONE,NOV,LOW SEASON,Mon,No,NONE,GOOD WEATHER
230.0,2004-11-16,753.0,6.6240652277998935,4585.7699999999995,6.09,58.0,2.01,14.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,NOV,LOW SEASON,Tue,No,NONE,GOOD WEATHER
231.0,2004-11-17,2109.0,7.653969180478774,210.9,0.1,56.0,2.01,13.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,NOV,LOW SEASON,Wed,No,NONE,GOOD WEATHER
232.0,2004-11-18,1176.0,7.069874128458572,7267.679999999999,6.18,55.0,2.01,13.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,NOV,LOW SEASON,Thu,No,NONE,GOOD WEATHER
233.0,2004-11-19,1517.0,7.324489979348532,9344.72,6.16,62.0,2.0,12.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,HolidayLights,NOV,LOW SEASON,Fri,No,Have Events,GOOD WEATHER
234.0,2004-11-20,397.0,5.983936280687191,2409.79,6.07,53.0,2.0,12.0,yes,RAIN,RAIN,HolidayLights,NOV,LOW SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
235.0,2004-11-21,763.0,6.637258031284457,4646.67,6.09,55.0,2.0,11.0,yes,RAIN,RAIN,HolidayLights,NOV,LOW SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
236.0,2004-11-22,1094.0,6.9975959829819265,6760.92,6.18,55.0,2.0,11.0,yes,RAIN,RAIN,NONE,NOV,LOW SEASON,Mon,No,NONE,NOT GOOD WEATHER
237.0,2004-11-23,1152.0,7.049254841255837,7061.76,6.13,54.0,2.0,10.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,NOV,LOW SEASON,Tue,No,NONE,GOOD WEATHER
238.0,2004-11-24,617.0,6.424869023905388,61.7,0.1,56.0,2.0,10.0,yes,RAIN,RAIN,NONE,NOV,LOW SEASON,Wed,No,NONE,NOT GOOD WEATHER
239.0,2004-11-25,470.0,6.152732694704104,2857.6,6.08,65.0,2.0,9.0,yes,RAIN,RAIN,NONE,NOV,LOW SEASON,Thu,No,NONE,NOT GOOD WEATHER
240.0,2004-11-26,2563.0,7.848933726364071,15711.19,6.13,47.0,2.0,9.0,yes,SUNNY/CLOUDY,Sunny,HolidayLights,NOV,LOW SEASON,Fri,No,Have Events,GOOD WEATHER
241.0,2004-11-27,2631.0,7.875119281040293,15996.48,6.08,53.0,2.0,8.0,yes,SUNNY/CLOUDY,MOSTLY CLOUDY,HolidayLights,NOV,LOW SEASON,Sat,Yes,Have Events,GOOD WEATHER
242.0,2004-11-28,135.0,4.90527477843843,810.0,6.0,58.0,2.0,8.0,yes,RAIN,RAIN,HolidayLights,NOV,LOW SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
243.0,2004-11-29,989.0,6.8966943316227125,6062.57,6.13,50.0,2.0,8.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,HolidayLights,NOV,LOW SEASON,Mon,No,Have Events,GOOD WEATHER
244.0,2004-11-30,762.0,6.635946555686647,4739.639999999999,6.22,49.0,2.0,7.0,yes,RAIN,RAIN,HolidayLights,NOV,LOW SEASON,Tue,No,Have Events,NOT GOOD WEATHER
245.0,2004-12-01,561.0,6.329720905522696,56.1,0.1,58.0,2.0,7.0,yes,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Wed,No,Have Events,NOT GOOD WEATHER
246.0,2004-12-02,571.0,6.3473892096560105,3500.23,6.13,46.0,2.0,7.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,HolidayLights,DEC,LOW SEASON,Thu,No,Have Events,GOOD WEATHER
247.0,2004-12-03,517.0,6.248042874508429,3133.02,6.06,47.0,2.0,6.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,HolidayLights,DEC,LOW SEASON,Fri,No,Have Events,GOOD WEATHER
248.0,2004-12-04,749.0,6.618738983517219,4561.41,6.09,44.0,2.0,6.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,HolidayLights,DEC,LOW SEASON,Sat,Yes,Have Events,GOOD WEATHER
249.0,2004-12-05,1334.0,7.195937226475569,8177.42,6.13,55.0,1.99,6.0,yes,SUNNY/CLOUDY,PARTLY CLOUDY,HolidayLights,DEC,LOW SEASON,Sun,Yes,Have Events,GOOD WEATHER
250.0,2004-12-06,334.0,5.811140992976701,2037.3999999999999,6.1,42.0,1.99,6.0,yes,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Mon,No,Have Events,NOT GOOD WEATHER
251.0,2004-12-07,299.0,5.700443573390687,1994.33,6.67,49.0,1.99,5.0,no,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Tue,No,Have Events,NOT GOOD WEATHER
252.0,2004-12-08,1440.0,7.272398392570047,144.0,0.1,59.0,1.99,5.0,no,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Wed,No,Have Events,NOT GOOD WEATHER
253.0,2004-12-09,636.0,6.455198563340122,3936.84,6.19,48.0,1.99,5.0,no,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Thu,No,Have Events,NOT GOOD WEATHER
254.0,2004-12-10,308.0,5.730099782973574,1915.76,6.22,48.0,1.99,5.0,no,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Fri,No,Have Events,NOT GOOD WEATHER
255.0,2004-12-11,377.0,5.932245187448011,2299.7,6.1,52.0,1.99,5.0,no,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Sat,Yes,Have Events,NOT GOOD WEATHER
256.0,2004-12-12,705.0,6.558197802812269,4251.150000000001,6.03,46.0,1.99,4.0,no,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
257.0,2004-12-13,423.0,6.0473721790462776,2588.76,6.12,46.0,1.99,4.0,no,RAIN,RAIN,HolidayLights,DEC,LOW SEASON,Mon,No,Have Events,NOT GOOD WEATHER
